target,targetdB,h22,h2,maxSqnr,msia,lria
0.6,-4.436974992,1.96027207,1.400097164,84.67,-2.9,-87
0.62,-4.15216621,1.917496869,1.384737112,81.72,-2.6,-86
0.64,-3.87640052,1.874375427,1.369078313,82.35,-2.5,-86
0.66,-3.609121289,1.830947924,1.353125243,80.44,-2.3,-83
0.68,-3.349821746,1.787248379,1.336880091,80.77,-2,-83
0.7,-3.0980392,1.743304008,1.320342383,79.93,-2,-83
0.72,-2.853350071,1.699134432,1.303508509,77.91,-1.7,-81
0.74,-2.615365605,1.654750639,1.286371112,78.15,-1.4,-76
0.76,-2.383728154,1.610153608,1.268918283,76.43,-1.3,-75
0.78,-2.158107946,1.56533243,1.251132459,74.98,-1.2,-73
0.8,-1.93820026,1.520261655,1.232988911,74.82,-1.1,-69
0.82,-1.723722952,1.474897461,1.214453565,72.82,-0.7,-70
0.84,-1.514414279,1.429171915,1.195479784,71.16,-0.5,-58
0.86,-1.310030975,1.382984029,1.176003414,68.91,-0.4,-55
0.88,-1.110346557,1.336185152,1.155934752,67.72,0,-55
0.9,-0.915149811,1.288553532,1.135144719,65.15,0,-51
0.92,-0.724243453,1.239746238,1.113438924,64.31,0,-48
0.94,-0.537442928,1.189197047,1.090503117,61.09,0,-45
0.96,-0.354575339,1.135857603,1.065766205,60.87,0,-39
0.98,-0.175478486,1.077297357,1.03792936,60.76,0,-38
