star,l1,l1opt,kopt,msiaExpStar,msiaExpStardB,msiaExpl1,msiaExpl1dB,msiaExpOpt,msiaExpOptdB,maxSqnr,msia,lria
2.25,1.320891169,1,0.00E+00,0.75,-2.498774732,1,0,1,0,44.47,0,-26
2.5,1.705804273,1,0.00E+00,0.5,-6.020599913,1,0,1,0,46.75,0,-25
2.75,1.890617443,1,0.00E+00,0.25,-12.04119983,1,0,1,0,49.01,0,-29
3,2.022309425,1,0.00E+00,0,,0.977690575,-0.195971424,1,0,50.88,0,-31
3.25,2.13779916,1.012283934,0.00E+00,0,,0.86220084,-1.287831165,1,0,55.54,0,-33
3.5,2.241180003,2.23175027,1.129492188,0,,0.758819997,-2.397224652,0.76824973,-2.289951673,57.86,0,-37
3.75,2.322538104,2.317219896,1.026660156,0,,0.677461896,-3.38230253,0.682780104,-3.314382857,56.93,0,-40
4,2.381623786,2.318603898,1.619921875,0,,0.618376214,-4.174944481,0.681396102,-3.332007102,58.87,0,-41
4.25,2.433941921,2.343552025,1.950585938,0,,0.566058079,-4.942780138,0.656447975,-3.655993738,60.27,0,-43
4.5,2.488689563,2.388970136,1.585742188,0,,0.511310437,-5.826306848,0.611029864,-4.278751268,61.97,0,-44
4.75,2.536937188,2.416028213,1.588574219,0,,0.463062812,-6.687201906,0.583971787,-4.67216268,63.89,0,-47
5,2.581992991,2.448707158,1.545507813,0,,0.418007009,-7.576328728,0.551292842,-5.172352933,66.21,0,-49
5.25,2.629050734,2.4610325,1.78359375,0,,0.370949266,-8.613709677,0.5389675,-5.368748439,67.23,0,-50
5.5,2.685238761,2.529809133,1.421484375,0,,0.314761239,-10.04037507,0.470190867,-6.554516217,67.33,0,-50
5.75,2.74322612,2.530988928,1.663378906,0,,0.25677388,-11.80898313,0.469011072,-6.576338087,68.76,0,-52
6,2.832342083,2.765860312,1.078222656,0,,0.167657917,-15.51151869,0.234139688,-12.61049931,68.95,0,-66
