kl,kh,maxSqnr,msia,lria
0.025,1.2,60.45,0,-32
0.05,1.2,63.64,0,-40
0.075,1.2,64.59,0,-45
0.1,1.2,65.57,0,-52
0.125,1.2,69.75,-0.6,-61
0.15,1.15,77.95,-1.1,-75
0.175,1.175,78.48,-1.2,-85
0.2,1.2,82.16,-1.9,-87
0.225,1.225,84.27,-2.4,-87
0.25,1.25,83.51,-3.1,-90
0.275,1.275,83.38,-3.9,-86
0.3,1.3,84.11,-4.9,-93
0.325,1.325,81.88,-7.5,-90
0.35,1.35,80.56,-9.4,-89
0.375,1.375,82.1,-9.1,-86
0.4,1.4,81.99,-10,-94
0.425,1.425,85.24,-6.5,-92
0.45,1.45,88.61,-4.5,-99
0.475,1.475,88.2,-3.8,-98
0.5,1.5,90.65,-4.9,-97
0.525,1.525,89.83,-6.1,-97
0.55,1.55,89.29,-9.7,-98
0.575,1.575,63.12,-39,-99
0.6,1.6,54.75,-45,-101
0.625,1.625,41.33,-60,-101
